"EOIR ID","EOIR Data","TRAC Id"
AA,Anthony Atenaide,00185
AAT,A. Ashley Tabaddor,00103
AAV,Alan A. Vomacka,00216
ADP,"Anthony D. Petrone, Jr.",00230
AED,Alison E Daw,00088
AEG,Alberto E. Gonzalez,00263
AJG,Anne J. Greer,00269
AJR,Alberto J. Riefkohl,00164
ALP,Alan L. Page,00215
ALR,Agnelis L. Reese,00168
AO,Adam Opaciuch,00124
ARA,Andrew R. Arthur,00280
ASE,Annette S. Elstein,00142
ASG,Annie S. Garcy,00160
ASM,Anthony S. Murry,00198
ATG,Anthony T. Giattina,00093
BAN,Barbara A. Nelson,00152
BAR,Rico J. Bartolomei,00188
BAT,Bruce A. Taylor,00057
BAZ,Bertha A. Zuniga,00184
BHS,Brian H. Simpson,00202
BJE,Bruce J. Einhorn,00090
BJH,Bernard J. Hornbach,00305
BKS,Bette Kane Stockton,00203
BLF,Brigitte Laforest,00147
BMB,Bruce M. Barrett,00007
BMO,Brian M. O'leary,00219
BMP,Beverley M. Phillips,00199
BWD,Billino W D'ambrosio,00226
BWS,Bruce W. Solow,00129
CAB,Christine A. Bither,00086
CAD,Charles A. Del Bene,00240
CAK,Carol A. King,00196
CAW,"Charles A. Wiegand, Iii",00253
CBA,Chris A. Brisack,00067
CC,Carlos Cuevas,00027
CDB,Craig De Bernardis,00257
CEP,Charles E. Pazar,00110
CES,Christine E. Stancill,00102
CHC,Cary H. Copeland,00033
CJS,Charles J. Sanders,00127
CKA,Charles Adkins-Blanch,00072
CMH,Charles M. Honeyman,00173
CMR,Clarease Rankin Yates,00070
CMZ,Craig M. Zerbe,00032
CRH,Carey R. Holliday,00117
DA,David Ayala,00060
DAL,Dean A. Levay,00258
DAM,Daniel A. Meisner,00162
DAR,D. Anthony Rogers,00035
DBS,Douglas B. Schoppert,00154
DCA,David C. Anderson,00083
DDB,Dorothy Dunkel-Bradley,00089
DDS,D.D. Sitgraves,00210
DE,Daniel Echavarren,00272
DFC,Dennis F. Coupe,00262
DH,Dorothy A. Harbeck,00286
DHS,Deitrich H. Sims,00036
DJC,David J. Cordova,00037
DLL,Donn L. Livingston,00038
DLM,Dana L. Marks,00197
DLN,David L. Neal,00266
DMB,Dayna Beamer,00065
DMK,Dana L. Marks,00197
DML,Denise M. Lane,00119
DNS,Denise N. Slavin,00128
DRJ,Dennis R. James,00075
DRS,Darlene R. Seligman,00244
DVF,Donald V. Ferlise,00172
DWC,David W.Crosland,00267
DWE,"D. William Evans, Jr.",00283
EAH,Elizabeth A. Hacker,00040
EAK,Elizabeth A. Kessler,00011
EAL,Elizabeth A. Lamb,00148
EBW,Earle B Wilson,00132
ECC,Esmeralda Cabrera,00232
ECK,Eliza C. Klein,00018
EMS,Elisa M. Sukkar,00130
EP,Eugene Pugliese,00163
ERH,Edwin R. Hughes,00034
ERK,Edward R. Kandler,00212
ET,Eleazar Tovar,00063
FGL,Frederic G. Leeds,00161
FJG,Fred J. Guzzo,00285
FLC,Francis L. Cramer,00015
FMT,Frank M. Travieso,00105
GA,Gita Vahid-Tehrani,00106
GAS,Grace A. Sease,00006
GBP,Gail Padgett,00022
GCV,Gabriel C. Videla,00157
GDB,Gary D. Burkholder,00180
GDM,Garry D. Malphrus,00218
GLB,Glen L. Bower,00025
GMR,G. M. Rast,00225
GNB,Gaylyn N. Boone,00260
GPK,George P. Katsivalis,00030
GPM,Glenn P. Mcphaul,00183
GS,Gary W. Smith,00290
GTC,George T. Chew,00140
GTG,Gilbert T. Gembacz,00092
GWP,George W. Proctor,00200
HBM,Harriet B. Marple,00307
HEA,Howard E. Achtsam,00059
HJA,H. Jere Armstrong,00306
HJS,Helen Sichel,00155
HLG,Harry L. Gastley,00080
HLK,H. Lloyd King Jr.,00246
HO,Anna Ho,00094
HPI,Henry P. Ipema,00190
HR,Howard Rose,00288
HSD,Henry S. Dogin,00159
HVW,Howard Van Winkle,00236
IBB,Isabel Bronzina,00087
IEB,Ira Bank,00084
IKH,Ingrid K. Hrycenko,00242
ILD,Irma Lopez Defillo,00058
IPF,Ignacio P. Fernandez,00189
