Country,Country,Region,Subregion,Population,Christian,%,-Muslim-,%,Unaffiliated,%,Hindu,%,Buddhist,%,FolkReligion,%,OtherReligion,%,Jewish,%
Afghanistan,Afghanistan,Asia and the Pacific,Western Asia,31410000,31410,0.10%,31315770,99.70%,0,0.00%,10000,0.03%,0,0.00%,0,0.00%,20000,0.06%,1,0.00%
Albania,Albania,Europe,Southeastern Europe,3200000,576000,18.00%,2569600,80.30%,44800,1.40%,0,0.00%,0,0.00%,0,0.00%,6400,0.20%,0,0.00%
Algeria,Algeria,The Middle East and North Africa,North Africa,35470000,70940,0.20%,34725130,97.90%,638460,1.80%,0,0.00%,0,0.00%,10000,0.03%,0,0.00%,0,0.00%
American Samoa,American Samoa,Asia and the Pacific,Polynesia,70000,68810,98.30%,0,0.00%,490,0.70%,0,0.00%,210,0.30%,280,0.40%,210,0.30%,0,0.00%
Andorra,Andorra,Europe,Southern Europe,80000,71600,89.50%,640,0.80%,7040,8.80%,400,0.50%,0,0.00%,0,0.00%,80,0.10%,240,0.30%
Angola,Angola,Sub-Saharan Africa,Middle Africa,19080000,17267400,90.50%,38160,0.20%,973080,5.10%,0,0.00%,0,0.00%,801360,4.20%,0,0.00%,0,0.00%
Anguilla,Anguilla,Latin America and the Caribbean,Caribbean,20000,18120,90.60%,60,0.30%,800,4.00%,80,0.40%,0,0.00%,580,2.90%,320,1.60%,20,0.10%
Antigua and Barbuda,Antigua and Barbuda,Latin America and the Caribbean,Caribbean,90000,83700,93.00%,540,0.60%,1530,1.70%,180,0.20%,0,0.00%,3240,3.60%,900,1.00%,0,0.00%
Argentina,Argentina,Latin America and the Caribbean,South America,40410000,34429320,85.20%,404100,1.00%,4930020,12.20%,0,0.00%,20000,0.05%,323280,0.80%,121230,0.30%,202050,0.50%
Armenia,Armenia,Asia and the Pacific,Western Asia,3090000,3043650,98.50%,0,0.00%,40170,1.30%,0,0.00%,0,0.00%,0,0.00%,3090,0.10%,0,0.00%
Aruba,Aruba,Latin America and the Caribbean,Caribbean,110000,101090,91.90%,220,0.20%,6600,6.00%,0,0.00%,110,0.10%,1430,1.30%,110,0.10%,440,0.40%
